subject_id,trial,block,deck_shown,choice,gain,loss,net_outcome,ev_A,ev_B,ev_C,ev_D,is_training
1,77,4,2,0,0,0,0,0.442887037536627,1.29848193627933,0.44750977879148,0.948491384524639,FALSE
1,78,4,1,1,100,0,100,0.634389797388707,1.29848193627933,0.44750977879148,0.948491384524639,FALSE
1,79,4,2,1,100,0,100,0.634389797388707,1.45453791283344,0.44750977879148,0.948491384524639,FALSE
1,80,4,4,0,0,0,0,0.634389797388707,1.45453791283344,0.44750977879148,0.948491384524639,FALSE
1,81,5,3,1,0,0,0,0.634389797388707,1.45453791283344,0.428969717162016,0.948491384524639,FALSE
1,82,5,2,1,100,0,100,0.634389797388707,1.6041285839125,0.428969717162016,0.948491384524639,FALSE
1,83,5,3,1,50,0,50,0.634389797388707,1.6041285839125,0.516123411204324,0.948491384524639,FALSE
1,84,5,3,1,50,0,50,0.634389797388707,1.6041285839125,0.599666379994676,0.948491384524639,FALSE
1,85,5,2,0,0,0,0,0.634389797388707,1.6041285839125,0.599666379994676,0.948491384524639,FALSE
1,86,5,2,0,0,0,0,0.634389797388707,1.6041285839125,0.599666379994676,0.948491384524639,FALSE
1,87,5,3,1,50,0,50,0.634389797388707,1.6041285839125,0.679748213713825,0.948491384524639,FALSE
1,88,5,1,1,100,0,100,0.817958712801771,1.6041285839125,0.679748213713825,0.948491384524639,FALSE
1,89,5,4,1,50,0,50,0.817958712801771,1.6041285839125,0.679748213713825,1.01412160760111,FALSE
1,90,5,1,0,0,0,0,0.817958712801771,1.6041285839125,0.679748213713825,1.01412160760111,FALSE
1,91,5,4,1,50,0,50,0.817958712801771,1.6041285839125,0.679748213713825,1.07703280991366,FALSE
1,92,5,2,1,100,0,100,0.817958712801771,1.74752180324315,0.679748213713825,1.07703280991366,FALSE
1,93,5,4,0,0,0,0,0.817958712801771,1.74752180324315,0.679748213713825,1.07703280991366,FALSE
1,94,5,4,1,50,0,50,0.817958712801771,1.74752180324315,0.679748213713825,1.13733763886113,FALSE
1,95,5,3,1,50,0,50,0.817958712801771,1.74752180324315,0.756512305111089,1.13733763886113,FALSE
1,96,5,1,0,0,0,0,0.817958712801771,1.74752180324315,0.756512305111089,1.13733763886113,FALSE
1,97,5,1,0,0,0,0,0.817958712801771,1.74752180324315,0.756512305111089,1.13733763886113,FALSE
1,98,5,1,1,0,-250,-250,0.733088439292746,1.74752180324315,0.756512305111089,1.13733763886113,FALSE
1,99,5,1,0,0,0,0,0.733088439292746,1.74752180324315,0.756512305111089,1.13733763886113,FALSE
1,100,5,1,1,0,-250,-250,0.651734290293036,1.74752180324315,0.756512305111089,1.13733763886113,FALSE
1,101,6,2,1,100,0,100,0.651734290293036,1.88497432753287,0.756512305111089,1.13733763886113,FALSE
1,102,6,3,1,0,0,0,0.651734290293036,1.88497432753287,0.72517045421772,1.13733763886113,FALSE
1,103,6,2,1,0,-1150,-1150,0.651734290293036,1.57236039198856,0.72517045421772,1.13733763886113,FALSE
1,104,6,3,1,50,0,50,0.651734290293036,1.57236039198856,0.800052729444252,1.13733763886113,FALSE
1,105,6,4,0,0,0,0,0.651734290293036,1.57236039198856,0.800052729444252,1.13733763886113,FALSE
1,106,6,2,1,100,0,100,0.651734290293036,1.71706974844971,0.800052729444252,1.13733763886113,FALSE
1,107,6,3,1,0,-25,-25,0.651734290293036,1.71706974844971,0.761808751413727,1.13733763886113,FALSE
1,108,6,3,0,0,0,0,0.651734290293036,1.71706974844971,0.761808751413727,1.13733763886113,FALSE
1,109,6,3,0,0,0,0,0.651734290293036,1.71706974844971,0.761808751413727,1.13733763886113,FALSE
1,110,6,2,0,0,0,0,0.651734290293036,1.71706974844971,0.761808751413727,1.13733763886113,FALSE
1,111,6,1,0,0,0,0,0.651734290293036,1.71706974844971,0.761808751413727,1.13733763886113,FALSE
1,112,6,3,0,0,0,0,0.651734290293036,1.71706974844971,0.761808751413727,1.13733763886113,FALSE
1,113,6,3,0,0,0,0,0.651734290293036,1.71706974844971,0.761808751413727,1.13733763886113,FALSE
1,114,6,4,1,50,0,50,0.651734290293036,1.71706974844971,0.761808751413727,1.19514407492819,FALSE
1,115,6,4,1,50,0,50,0.651734290293036,1.71706974844971,0.761808751413727,1.25055562503286,FALSE
1,116,6,4,1,50,0,50,0.651734290293036,1.71706974844971,0.761808751413727,1.30367150786363,FALSE
1,117,6,3,0,0,0,0,0.651734290293036,1.71706974844971,0.761808751413727,1.30367150786363,FALSE
1,118,6,3,1,50,0,50,0.651734290293036,1.71706974844971,0.835173123970407,1.30367150786363,FALSE
1,119,6,2,1,100,0,100,0.651734290293036,1.85578388309828,0.835173123970407,1.30367150786363,FALSE
1,120,6,4,1,50,0,50,0.651734290293036,1.85578388309828,0.835173123970407,1.35458683153824,FALSE
2,1,1,4,1,50,0,50,0,0,0,0.275531734275,TRUE
2,2,1,3,0,0,0,0,0,0,0,0.275531734275,TRUE
