     1.633     1.491     1.603     1.719     1.902     1.816     1.986     2.430     0.833     0.145 202449 220009
     1.118    -0.434     0.344     0.075    -1.284     0.023    -1.941     0.234    -0.101     0.145 202466 220009
    -1.197     1.491    -0.285     0.528    -0.687    -1.173    -0.552    -0.864    -0.458     0.145 202515 230012
    -0.682    -1.397    -0.285    -0.962    -0.687    -0.874     0.464     0.234    -0.259     0.145 202545 230012
    -0.682     1.010    -0.914    -2.313     1.158     0.920    -0.240     0.234     0.231     0.145 202548 230010
     0.347    -0.915    -0.285    -0.417    -0.687    -0.874     0.023    -0.864    -0.209     0.145 202565 250007
     0.347     0.529    -0.914     0.949     1.158     1.219     0.254     1.518     0.381     0.145 202577 250007
    -0.940    -2.359    -0.914    -2.313    -1.991    -0.874    -0.552    -0.864    -0.461     0.145 202582 250010
    -0.168     0.529     0.973     0.075     1.158    -0.874    -0.959    -0.864    -0.145     0.145 202597 250008
     0.347     0.529     1.603    -0.962    -1.284     0.023    -1.941    -0.864    -0.151     0.145 202611 240027
     0.089    -1.397     0.344     0.075    -0.161    -0.276     0.254    -0.864    -0.061     0.145 202612 240028
    -0.940     1.491    -0.285    -0.417    -0.687     0.621     0.657    -0.864     0.007     0.145 202625 240028
     1.375    -1.397     0.973     0.528     0.752     0.023     1.005     1.332     0.282     0.145 202626 240028
    -0.940    -1.878    -0.285     0.075     0.314    -1.173     0.464    -1.962    -0.316     0.145 202631 240036
    -1.197     0.047     0.344     0.528    -0.687    -0.874    -0.240    -0.864    -0.378     0.145 202632 240036
     0.089    -0.434    -1.543     0.949     0.752     0.322     1.315     1.120     0.187     0.145 202638 240036
    -0.168     1.010     0.344     0.075    -0.687    -1.173    -0.959    -1.962    -0.382     0.145 202648 240036
     0.347    -0.434     0.344     0.949     1.541     0.621    -0.552     0.876     0.252     0.145 202650 240036
     0.347     1.010     0.344    -1.580    -1.284     0.322     1.460     0.234     0.118     0.145 202658 240038
     0.089     0.047    -0.914    -0.962    -0.161     1.219     0.023    -0.222     0.235     0.145 202666 240038
     0.861    -0.434    -0.914     0.949     0.752     0.920    -0.959    -0.222     0.235     0.145 202667 240038
    -0.682    -1.397    -0.914    -0.417    -0.687    -0.575     0.836    -0.222    -0.206     0.145 202680 240032
    -0.940     0.529    -0.914     0.528    -0.687    -0.575    -0.240    -0.222    -0.301     0.145 202683 240032
    -0.425    -0.434    -0.914    -1.580    -0.161     0.621     1.005     0.234     0.141     0.145 202686 240032
    -0.682     1.010    -1.543     0.075     0.314    -0.276     1.164    -0.864    -0.061     0.145 202688 240032
     0.861    -1.397     0.344     0.528    -0.161     2.115     0.464     0.234     0.506     0.145 202695 240036
